"","Year","Origin"
"1",1988,"PNS"
"2",1988,"OME"
"3",1990,"SAN"
"4",1990,"STT"
"5",1991,"FLL"
"6",1993,"MSP"
"7",1993,"ONT"
"8",1994,"MOT"
"9",1994,"GFK"
"10",1995,"FCA"
"11",1998,"EWR"
"12",1998,"JNU"
"13",1999,"FAT"
"14",2000,"LIT"
"15",2000,"MSP"
"16",2001,"MLU"
"17",2002,"MBS"
"18",2004,"PHL"
"19",2004,"ADQ"
"20",2005,"BZN"
"21",2005,"CEC"
"22",2005,"FSM"
"23",2005,"PSE"
"24",2006,"CPR"
"25",2006,"SIT"
"26",2007,"DAB"
"27",2008,"DAB"
"28",2008,"ACK"
"29",1987,"BTM"
"30",1988,"PHL"
"31",1988,"SBA"
"32",1989,"ROA"
"33",1991,"RDU"
"34",1992,"DCA"
"35",1993,"PFN"
"36",1996,"BHM"
"37",1996,"BFL"
"38",1997,"OTZ"
"39",1998,"GSO"
"40",1998,"STT"
"41",1998,"CDV"
"42",2000,"DRO"
"43",2003,"TXK"
"44",2004,"TYS"
"45",2005,"STT"
"46",2005,"GRR"
"47",2005,"PIE"
"48",2006,"IAD"
"49",2006,"TRI"
"50",2007,"BFL"
"51",2008,"DHN"
"52",1987,"STL"
"53",1988,"OKC"
"54",1988,"STT"
"55",1989,"ROR"
"56",1990,"PIT"
"57",1991,"MFR"
"58",1994,"ERI"
"59",1995,"BHM"
"60",1996,"BGM"
"61",1996,"FLL"
"62",1998,"DTW"
"63",1999,"HOU"
"64",1999,"CRW"
"65",2000,"MOT"
"66",2002,"BIS"
"67",2002,"FCA"
"68",2002,"GGG"
"69",2003,"SEA"
"70",2004,"GEG"
"71",2005,"DFW"
"72",2006,"EWR"
"73",2006,"TEX"
"74",2006,"PHF"
"75",2007,"GRK"
"76",2007,"SLE"
"77",2008,"TWF"
"78",1987,"SCC"
"79",1988,"OTZ"
"80",1989,"BDL"
"81",1989,"SCC"
"82",1991,"CVG"
"83",1991,"PMD"
"84",1992,"TPA"
"85",1992,"GRR"
"86",1992,"LSE"
"87",1992,"MSO"
"88",1993,"CMH"
"89",1993,"GUM"
"90",1994,"PSC"
"91",1995,"ALB"
"92",1999,"MCI"
"93",2000,"CRW"
"94",2001,"FAI"
"95",2002,"DAY"
"96",2003,"OGG"
"97",2004,"GJT"
"98",2004,"BET"
"99",2004,"OTZ"
"100",2005,"KOA"
"101",2005,"DHN"
"102",2005,"FAY"
"103",2006,"CID"
"104",2006,"DHN"
"105",2007,"MSY"
"106",2007,"OAK"
"107",2007,"TYS"
"108",2007,"APF"
"109",2008,"SUN"
"110",1987,"CHS"
"111",1989,"MLU"
"112",1990,"SJC"
"113",1991,"CHO"
"114",1992,"EGE"
"115",1995,"JNU"
"116",1996,"ATL"
"117",1996,"ELM"
"118",1999,"DFW"
"119",1999,"TOL"
"120",2000,"BUR"
"121",2000,"RSW"
"122",2000,"OGG"
"123",2001,"FAT"
"124",2002,"GSO"
"125",2002,"BOS"
"126",2003,"PDX"
"127",2003,"LBB"
"128",2003,"PSP"
"129",2005,"SEA"
"130",2005,"MFR"
"131",2006,"ATL"
"132",2006,"PIH"
"133",2006,"CDC"
"134",2007,"COS"
"135",1987,"ORH"
"136",1988,"DSM"
"137",1989,"EWR"
"138",1991,"SDF"
"139",1991,"JAC"
"140",1991,"CDV"
"141",1992,"FCA"
"142",1992,"PSG"
"143",1993,"TUL"
"144",1993,"JAC"
"145",1993,"ADQ"
"146",1994,"SFO"
"147",1995,"AVP"
"148",1996,"PWM"
"149",1996,"JAN"
"150",1996,"HSV"
"151",1997,"HLN"
"152",1999,"MOB"
"153",1999,"BIS"
"154",2000,"PHL"
"155",2000,"CHA"
"156",2001,"MHT"
"157",2001,"BUR"
"158",2002,"SFO"
"159",2003,"EGE"
"160",2003,"FLO"
"161",2004,"BIL"
"162",2004,"KTN"
"163",2005,"CYS"
"164",2006,"MSN"
"165",2007,"PIT"
"166",2007,"FLO"
"167",2008,"DSM"
"168",1987,"LAX"
"169",1988,"LAX"
"170",1988,"TUL"
"171",1989,"PSC"
"172",1990,"FAY"
"173",1991,"ROA"
"174",1991,"SCC"
"175",1992,"ABQ"
"176",1993,"PIT"
"177",1993,"BZN"
"178",1993,"GTF"
"179",1994,"CMH"
"180",1994,"ONT"
"181",1995,"DSM"
"182",1996,"LNK"
"183",1996,"TVC"
"184",1997,"RSW"
"185",1999,"LIH"
"186",2000,"LNK"
"187",2003,"DSM"
"188",2003,"HRL"
"189",2003,"MSN"
"190",2004,"DCA"
"191",2005,"BNA"
"192",2005,"BTR"
"193",2006,"APF"
"194",2007,"TLH"
"195",2008,"CHA"
"196",1988,"DET"
"197",1989,"PHL"
"198",1989,"MHT"
"199",1990,"ERI"
"200",1991,"BTV"
"201",1992,"RDU"
"202",1992,"BHM"
"203",1992,"ISP"
"204",1993,"RAP"
"205",1994,"SMF"
"206",1994,"FAR"
"207",1995,"TUS"
"208",1995,"TLH"
"209",1997,"SGF"
"210",1999,"TUS"
"211",1999,"PSG"
"212",1999,"LAN"
"213",2000,"MHT"
"214",2002,"XNA"
"215",2003,"BET"
"216",2003,"BRW"
"217",2004,"SJC"
"218",2004,"LYH"
"219",2006,"SLC"
"220",2006,"CAK"
"221",2006,"YUM"
"222",2006,"LFT"
"223",1987,"BNA"
"224",1988,"BGM"
"225",1988,"HPN"
"226",1989,"RDU"
"227",1990,"DET"
"228",1991,"PBI"
"229",1992,"OTZ"
"230",1993,"DFW"
"231",1993,"MFE"
"232",1994,"MKE"
"233",1994,"PIA"
"234",1996,"HNL"
"235",1996,"PSP"
"236",1996,"IDA"
"237",1996,"PSC"
"238",1997,"MRY"
"239",1997,"CHS"
"240",1998,"CVG"
"241",1998,"DFW"
"242",1998,"WRG"
"243",1998,"KTN"
"244",1999,"ORF"
"245",1999,"DAL"
"246",1999,"ISP"
"247",2000,"WRG"
"248",2000,"CAE"
"249",2002,"CVG"
"250",2003,"SPS"
"251",2005,"LIH"
"252",2005,"HSV"
"253",2005,"SHV"
"254",2006,"BIS"
"255",2007,"ROA"
"256",2008,"CDV"
"257",1987,"TPA"
"258",1988,"SCC"
"259",1989,"GPT"
"260",1990,"LGA"
"261",1990,"LAS"
"262",1991,"BUF"
"263",1994,"DEN"
"264",1994,"SNA"
"265",1994,"STX"
"266",1995,"OTZ"
"267",1996,"RDU"
"268",1996,"FAI"
"269",1997,"TVC"
"270",1999,"DCA"
"271",1999,"BOI"
"272",2000,"JAN"
"273",2001,"SYR"
"274",2001,"SJC"
"275",2003,"LAS"
"276",2004,"SBP"
"277",2006,"DEN"
"278",2006,"ACV"
"279",2007,"LSE"
"280",1987,"HOU"
"281",1988,"SAN"
"282",1988,"DAY"
"283",1989,"MLI"
"284",1989,"GCN"
"285",1991,"STX"
"286",1992,"MEM"
"287",1992,"ISO"
"288",1994,"BTV"
"289",1995,"ELM"
"290",1996,"CDV"
"291",1998,"DUT"
"292",1999,"GSO"
"293",1999,"GEG"
"294",1999,"AKN"
"295",2001,"SFO"
"296",2002,"GFK"
"297",2003,"PFN"
"298",2003,"DHN"
"299",2004,"PBI"
"300",2006,"BNA"
"301",2008,"MHT"
"302",1987,"MSN"
"303",1988,"PDX"
"304",1988,"PHF"
"305",1989,"SFO"
"306",1989,"RDM"
"307",1990,"SCC"
"308",1992,"STL"
"309",1992,"PDX"
"310",1992,"BOI"
"311",1993,"MFR"
"312",1993,"SCC"
"313",1994,"MCO"
"314",1994,"CAE"
"315",1994,"BQN"
"316",1997,"IDA"
