"","Year","CNT","DepDelaySum","ArrDelaySum","DepDelayMean","ArrDelayMean","airports"
"1",1987,49460,477201,519896,9.6482207844723,10.5114435907804,"BOS"
"2",1988,196069,1712540,1613634,8.73437412339534,8.22992925959739,"BOS"
"3",1989,179616,1760988,1782884,9.80418225547835,9.9260867628719,"BOS"
"4",1990,184780,1574168,1515991,8.51914709384132,8.20430241368113,"BOS"
"5",1991,179845,1331991,1060958,7.40632767105007,5.89929105618727,"BOS"
"6",1992,182862,1496272,1348629,8.18252015180847,7.3751189421531,"BOS"
"7",1993,184653,1828794,1746309,9.90394957027506,9.45724683595717,"BOS"
"8",1994,192715,1868751,1616355,9.6969670238435,8.38728173728044,"BOS"
"9",1995,179875,1693266,1290582,9.41357053509381,7.17488255733148,"BOS"
"10",1996,177554,1992221,1931926,11.2203667616612,10.8807799317391,"BOS"
"11",1997,189592,1571885,1436569,8.29088252668889,7.57716042871007,"BOS"
"12",1998,188602,1779887,1587076,9.4372647161748,8.41494787966193,"BOS"
"13",1999,203221,2106589,1958790,10.3660005609656,9.63871843953135,"BOS"
"14",2000,210959,2567268,2637787,12.169511611261,12.5037898359397,"BOS"
"15",2001,244767,2484313,1468180,10.1497056384235,5.99827591137694,"BOS"
"16",2002,215321,1052601,260109,4.88851993070811,1.20800572168994,"BOS"
"17",2003,223568,1189473,691021,5.32040810849495,3.09087615401131,"BOS"
"18",2004,258030,1814608,1489741,7.03254660310817,5.77351858311049,"BOS"
"19",2005,247645,2395229,2257207,9.67202648953138,9.11468836439258,"BOS"
"20",2006,255419,2818522,2524670,11.0348956029113,9.88442519937828,"BOS"
"21",2007,247979,3093163,2894601,12.4734876743595,11.6727666455627,"BOS"
"22",2008,228666,2380018,2086218,10.4082723273246,9.12342893127968,"BOS"
"23",1987,3106,22003,21124,7.08403090792015,6.80103026400515,"LNK"
"24",1988,10469,60820,58564,5.80953290667686,5.59403954532429,"LNK"
"25",1989,9456,67174,81741,7.10384940778342,8.64435279187817,"LNK"
"26",1990,9533,68710,75127,7.20759467114235,7.88073009545788,"LNK"
"27",1991,5946,46427,52016,7.80810628994282,8.74806592667339,"LNK"
"28",1992,5635,33553,34267,5.95439219165927,6.08110026619343,"LNK"
"29",1993,5941,43775,44825,7.36828816697526,7.54502608988386,"LNK"
"30",1994,5358,24818,16719,4.63195222097798,3.12038073908175,"LNK"
"31",1995,6820,52257,41188,7.66231671554252,6.03929618768328,"LNK"
"32",1996,6328,57837,54499,9.13985461441214,8.61235777496839,"LNK"
"33",1997,5507,39607,34993,7.19211912111858,6.35427637552206,"LNK"
"34",1998,5498,45157,43102,8.21335030920335,7.83957802837395,"LNK"
"35",1999,5948,40362,36194,6.78581035642233,6.08507061197041,"LNK"
"36",2000,5354,60916,62151,11.3776615614494,11.608330220396,"LNK"
"37",2001,2760,24812,20614,8.98985507246377,7.46884057971014,"LNK"
"38",2003,3425,31097,28224,9.07941605839416,8.24058394160584,"LNK"
"39",2004,4378,51484,49807,11.7597076290544,11.3766560073093,"LNK"
"40",2005,4018,32318,20367,8.04330512692882,5.06893977103036,"LNK"
"41",2006,5643,92763,83992,16.4385964912281,14.8842814105972,"LNK"
"42",2007,8091,82682,79009,10.2190087751823,9.76504758373502,"LNK"
"43",2008,5892,64649,55507,10.9723353699932,9.42073998642227,"LNK"
"44",1987,8399,64500,80597,7.67948565305394,9.59602333611144,"MKE"
"45",1988,45324,250740,256945,5.53216838760921,5.66907157355926,"MKE"
"46",1989,46995,311175,379454,6.62144909032876,8.07434833492925,"MKE"
"47",1990,48974,267398,260817,5.45999918324009,5.32562175848409,"MKE"
"48",1991,43299,171443,127558,3.95951407653756,2.94598027668075,"MKE"
"49",1992,45734,200684,154714,4.38807014475008,3.38290987011851,"MKE"
"50",1993,38724,173799,127109,4.48814688565231,3.28243466584031,"MKE"
"51",1994,34830,190615,157168,5.47272466264714,4.51243181165662,"MKE"
"52",1995,33531,219771,187601,6.55426321911067,5.59485252452954,"MKE"
"53",1996,31547,234211,242321,7.42419247472026,7.68126921735823,"MKE"
"54",1997,30254,226452,238005,7.48502677331923,7.86689363389965,"MKE"
"55",1998,29056,215507,175258,7.416953469163,6.03173182819383,"MKE"
"56",1999,29800,194084,165778,6.51288590604027,5.56302013422819,"MKE"
"57",2000,29692,229112,221693,7.71628721541156,7.46642193183349,"MKE"
"58",2001,34355,204811,148896,5.96160675301994,4.33404162421773,"MKE"
"59",2002,29730,130686,137718,4.39576185671039,4.63229061553986,"MKE"
"60",2003,41213,155381,172695,3.77019387086599,4.19030403028171,"MKE"
"61",2004,42668,265827,314836,6.23012562107434,7.37873816443236,"MKE"
"62",2005,42261,305414,295443,7.22685218049739,6.99091360829133,"MKE"
"63",2006,45966,436324,407445,9.49232041073837,8.86405169037985,"MKE"
"64",2007,55177,663174,730552,12.0190296681588,13.2401544121645,"MKE"
"65",2008,83051,775960,802813,9.34317467580162,9.66650612274386,"MKE"
"66",1987,38533,237456,382622,6.16240624918901,9.92972257545481,"MEM"
"67",1988,148700,748794,1020108,5.03560188298588,6.86017484868863,"MEM"
"68",1989,133469,659434,680886,4.94072780945388,5.10145427027999,"MEM"
"69",1990,125376,523236,357200,4.17333460949464,2.84903011740684,"MEM"
"70",1991,111749,338913,272395,3.03280566269049,2.43756096251421,"MEM"
"71",1992,102245,332936,256069,3.2562570296836,2.50446476600323,"MEM"
"72",1993,99198,296627,136777,2.99025181959314,1.3788282021815,"MEM"
"73",1994,99619,342883,153584,3.44194380590048,1.54171393007358,"MEM"
"74",1995,105161,608504,315190,5.7864037047955,2.99721379598901,"MEM"
"75",1996,100977,668678,507289,6.62208225635541,5.02380740168553,"MEM"
"76",1997,99771,765177,768096,7.66933277204799,7.69858977057462,"MEM"
"77",1998,96153,696222,364258,7.24077251879817,3.78831653718553,"MEM"
"78",1999,100360,494751,270676,4.92976285372658,2.69705061777601,"MEM"
"79",2000,106514,662737,497504,6.22206470510919,4.67078506111873,"MEM"
"80",2001,107005,573360,390772,5.35825428718284,3.65190411663006,"MEM"
"81",2002,94775,411607,372591,4.34299129517278,3.93132155104194,"MEM"
"82",2003,98925,269315,225016,2.72241597169573,2.27461207985848,"MEM"
"83",2004,96010,569225,667406,5.92880949901052,6.95142172690345,"MEM"
"84",2005,95876,608598,609032,6.34776169218574,6.35228837248112,"MEM"
"85",2006,92976,753778,846750,8.10723197384271,9.10718895198761,"MEM"
"86",2007,166677,1378500,1485723,8.27048722979175,8.91378534530859,"MEM"
"87",2008,158708,1083642,992923,6.82789777452932,6.25628827784359,"MEM"
"88",1987,28291,213238,147644,7.53730868474073,5.21876215050723,"HOU"
"89",1988,113352,654823,379343,5.77689851083351,3.34659291410826,"HOU"
"90",1989,110813,800516,658266,7.22402606192414,5.94033191051591,"HOU"
"91",1990,116627,961138,799759,8.24112769770293,6.85740866180216,"HOU"
"92",1991,112671,719872,597363,6.38915071313825,5.3018345448252,"HOU"
"93",1992,114715,466473,193646,4.06636446846533,1.68806171817112,"HOU"
"94",1993,114477,564932,343233,4.93489521912699,2.99827039492649,"HOU"
"95",1994,108538,610668,429574,5.62630599421401,3.95782122390315,"HOU"
"96",1995,112709,826298,644251,7.33125127540835,5.71605639301209,"HOU"
"97",1996,109838,935246,736643,8.51477630692474,6.70663158469746,"HOU"
"98",1997,108514,990691,854037,9.12961461193947,7.87029323405275,"HOU"
"99",1998,111440,1034631,787260,9.28419777458722,7.06442928930366,"HOU"
"100",1999,112471,1063264,786401,9.45367250224502,6.9920335019694,"HOU"
"101",2000,110196,1282303,1064176,11.6365657555628,9.65712004065483,"HOU"
"102",2001,114716,1059424,733887,9.23518951148924,6.39742494508177,"HOU"
"103",2002,107500,1056965,675468,9.83223255813953,6.28342325581395,"HOU"
"104",2003,112078,762245,424566,6.80102250218598,3.78812969539071,"HOU"
"105",2004,115831,1159838,833618,10.0131916326372,7.19684713073357,"HOU"
"106",2005,110764,1161629,767886,10.4874237116753,6.93263154093388,"HOU"
