"","Year","Origin","Dest","CNT","DepDelaySum","ArrDelaySum"
"1",1988,"BOS","EWR",8076,78661,94382
"2",1988,"LNK","PHX",406,1998,1607
"3",1988,"MKE","MEM",1377,5643,9289
"4",1988,"MEM","LIT",2369,11083,13912
"5",1988,"HOU","MIA",671,857,1120
"6",1988,"ABQ","IAH",685,1445,1149
"7",1988,"PNS","MOB",324,1828,2074
"8",1988,"ONT","SAN",1183,8546,8354
"9",1988,"RNO","FAT",716,4847,5874
"10",1988,"BNA","BOS",1057,6631,2976
"11",1988,"PHL","BNA",1767,7136,4790
"12",1988,"RDU","JAX",1048,5048,3384
"13",1988,"SFO","IND",354,3316,2653
"14",1988,"IAH","OMA",346,1659,-1871
"15",1988,"SEA","EWR",115,278,-587
"16",1989,"DEN","HOU",1646,10685,11327
"17",1989,"MDW","STL",5046,43802,39637
"18",1989,"PHX","LAX",13730,117749,104989
"19",1989,"ORF","CHS",566,9963,10077
"20",1989,"MLU","PNS",356,1521,1486
"21",1989,"COS","ICT",356,-154,-546
"22",1989,"DET","IND",1398,4746,9019
"23",1990,"DCA","GSO",982,5116,4333
"24",1990,"CLT","RSW",650,4152,4511
"25",1990,"AVP","ELM",118,2,-479
"26",1990,"RDU","CLT",3287,17502,9370
"27",1990,"CLT","FAY",2041,12700,6961
"28",1990,"OAJ","CLT",1051,2872,4345
"29",1990,"BUF","DTW",1445,837,-5693
"30",1990,"DTW","RSW",825,6384,6750
"31",1990,"EUG","DEN",679,4552,5038
"32",1990,"DFW","SAV",319,3361,4445
"33",1991,"ISP","BWI",985,3201,1814
"34",1991,"SNA","OAK",444,1728,1117
"35",1991,"MAF","DAL",2516,12565,7842
"36",1991,"MSP","CVG",1747,5029,3208
"37",1991,"DLH","MSP",1703,981,-857
"38",1991,"JAN","MEM",195,-5,-100
"39",1991,"DFW","MSY",4558,28602,38205
"40",1991,"DEN","LGA",2390,20341,18846
"41",1991,"GEG","SFO",1367,18187,15876
"42",1991,"SEA","ANC",6749,50597,43352
"43",1991,"ATL","BNA",3252,14448,13512
"44",1991,"LAS","OAK",1354,6356,2803
"45",1991,"OMA","LGA",173,2844,2755
"46",1991,"STT","SJU",347,-182,-1345
"47",1991,"DSM","CID",1,5,9
"48",1992,"PIT","BGM",1314,5916,7016
"49",1992,"PIT","SBN",1002,10257,5564
"50",1992,"PWM","PIT",645,5165,4147
"51",1992,"MCI","PHL",748,4607,1720
"52",1992,"MCO","IAD",1843,4112,867
"53",1992,"DTW","CVG",2572,9941,12667
"54",1992,"IAD","STL",1284,-247,-2056
"55",1992,"STL","MIA",1399,7269,4728
"56",1992,"DFW","ORD",6648,59120,56839
"57",1992,"IND","CVG",1423,4976,6118
"58",1992,"LAS","ATL",1053,6421,1280
"59",1992,"PHX","BOS",310,4492,3201
"60",1992,"ORD","ABQ",999,9056,9097
"61",1992,"ORD","PIA",533,3558,296
"62",1992,"EGE","DFW",106,1109,1421
"63",1992,"EGE","DEN",29,331,503
"64",1992,"LGA","IAH",2260,7795,3604
"65",1992,"ORF","CLE",11,9,-5
"66",1992,"RDU","MYR",209,1251,1525
"67",1993,"MSY","DCA",708,2877,3770
"68",1993,"DCA","CLE",1873,7501,6258
"69",1993,"PHL","CAE",273,2805,1575
"70",1993,"SFO","LAX",17295,76068,45443
"71",1993,"BWI","RDU",1015,3989,2419
"72",1993,"LIT","STL",3152,14236,13588
"73",1993,"DTW","IND",2326,8837,124
"74",1993,"GRR","MSP",1121,2407,2470
"75",1993,"ONT","MSP",1009,2037,-5534
"76",1993,"STL","IAD",1270,5568,5076
"77",1993,"CVG","ORD",5386,30838,26735
"78",1993,"SFO","OGG",574,3805,1606
"79",1993,"SEA","SMF",1774,5301,2685
"80",1993,"DEN","EUG",685,8807,7899
"81",1993,"BIS","DEN",532,1539,3375
"82",1993,"FLL","DFW",2200,18763,25580
"83",1993,"SEA","SLC",1411,6842,5661
"84",1993,"BNA","CVG",353,3649,4644
"85",1993,"PHX","DFW",4927,28863,13834
"86",1993,"RNO","SLC",1216,9060,9566
"87",1993,"BTM","BZN",578,1660,1782
"88",1993,"MCO","RDU",1464,4935,-4215
"89",1993,"HOU","MIA",842,1715,2050
"90",1993,"DEN","BNA",660,974,-773
"91",1993,"MSO","MSP",76,261,416
"92",1994,"OAJ","CLT",1002,3469,1774
"93",1994,"CLT","DTW",2702,13469,15268
"94",1994,"SYR","BOS",1051,9448,5946
"95",1994,"SDF","PIT",1397,10929,9837
"96",1994,"RSW","CLT",1204,9044,6001
"97",1994,"SNA","STL",880,523,-3114
"98",1994,"ORD","STL",5448,32673,29547
"99",1994,"CID","ORD",995,1674,-210
"100",1994,"ONT","SFO",2411,12132,3801
"101",1994,"ATL","TYS",2699,14652,15091
"102",1994,"ATL","ABE",682,3901,4297
"103",1994,"GSP","MCO",825,2890,1074
"104",1994,"MYR","PIT",220,733,1509
"105",1994,"BUF","MSP",118,-102,-237
"106",1994,"STL","ONT",375,3014,2264
"107",1994,"MIA","GSO",703,3116,1920
"108",1995,"RIC","PHL",1193,7371,2782
"109",1995,"HTS","PIT",567,2982,1761
"110",1995,"LAS","SEA",2452,26334,32591
"111",1995,"DTW","SNA",680,9018,3582
"112",1995,"ATL","SRQ",1801,15272,16033
"113",1995,"CLT","STL",2292,17733,19809
"114",1995,"MCO","MSP",1362,7462,8573
"115",1995,"CLE","MSY",359,1540,1190
"116",1995,"TUS","ORD",1214,6707,7187
"117",1995,"SRQ","DTW",614,2084,1312
"118",1995,"PDX","GEG",1285,14478,8404
"119",1995,"ORF","GSO",574,452,-1316
"120",1995,"SFO","IND",189,816,407
"121",1995,"BWI","ALB",362,4127,4682
"122",1995,"DLG","ANC",360,2682,3040
"123",1995,"MSP","BWI",992,7676,9297
"124",1995,"TPA","BWI",1497,12113,7268
"125",1995,"STL","COS",967,10757,10123
"126",1995,"BIL","DEN",856,7009,5931
"127",1995,"MDW","DEN",344,995,194
"128",1996,"ORD","PIT",4125,56342,55408
"129",1996,"MCI","SFO",310,6621,6233
"130",1996,"SFO","MCI",313,5337,5047
"131",1996,"SFO","MEM",732,1519,-484
"132",1996,"AZO","MSP",484,3176,2852
"133",1996,"CLE","MSP",1977,11303,10119
"134",1996,"SEA","MSP",2529,18862,16545
"135",1996,"PBI","ORD",867,9705,7635
"136",1996,"RST","ORD",1355,5937,7727
"137",1996,"ATL","DFW",10455,111888,107632
"138",1996,"TYS","DTW",616,1944,368
"139",1996,"ITH","ELM",488,613,2224
"140",1996,"CVG","ALB",1057,11637,19095
"141",1996,"CLT","ATL",5071,48444,67559
"142",1996,"SAT","CVG",724,4291,10309
"143",1996,"FAI","MSP",100,822,881
"144",1997,"TPA","PVD",365,4209,542
"145",1997,"DTW","RDU",1574,17163,17086
"146",1997,"PHL","STL",2006,11242,9992
"147",1997,"CVG","TPA",1452,11125,16880
"148",1997,"IND","TPA",580,7271,4782
"149",1997,"MKE","MEM",1056,1512,4675
"150",1997,"ORD","PBI",812,8045,6610
"151",1997,"GUC","DFW",120,2474,2675
"152",1997,"OAK","DFW",2181,9194,9663
"153",1997,"RDU","DTW",1570,12477,13014
"154",1997,"SJU","IAD",363,2804,171
"155",1997,"MSP","IND",2108,16350,14755
"156",1997,"ICT","LAS",296,2258,2557
"157",1997,"JAX","ATL",2888,40308,32584
"158",1997,"CMH","BOS",1673,18321,20265
"159",1997,"MSP","BZN",784,11372,9300
"160",1997,"GSO","CLE",6,2,-1
"161",1997,"DSM","DEN",1772,9968,8540
"162",1998,"ELP","PHX",4466,34455,38349
"163",1998,"SFO","PIT",1115,4560,-2265
"164",1998,"SYR","PIT",1415,8751,8482
"165",1998,"ATL","RDU",3596,26548,25742
"166",1998,"STL","SFO",2162,47173,43935
"167",1998,"STL","TUL",3422,36341,27251
"168",1998,"ATL","LGA",5859,62512,72141
"169",1998,"PIT","MCI",1465,14034,8653
"170",1998,"BOI","MSP",679,5377,3762
"171",1998,"SFO","ONT",2106,43730,42450
"172",1998,"ICT","ORD",1322,15038,16310
"173",1998,"MSY","ORD",2053,15478,13964
"174",1998,"DEN","HDN",198,1402,1503
"175",1998,"JAX","IAH",723,551,-395
"176",1998,"MKE","IAH",359,262,797
"177",1998,"SJU","JFK",3239,25637,17021
"178",1998,"SEA","LAS",2880,31604,40212
"179",1998,"ATL","LAX",2866,44814,43557
"180",1998,"LAS","LAX",15911,159289,150484
"181",1998,"DCA","ATL",5085,41674,36631
"182",1998,"CHS","CLT",2506,7031,4930
"183",1998,"CLT","DAY",718,5287,5401
