"","Year","CNT","ArrDelaySum","DepDealySum"
"1",1990,5270893,35428621,36056469
"2",2003,6488540,22931403,33520821
"3",2007,7453215,74151049,83127865
"4",2006,7141922,60812894,70857247
"5",1988,5202096,33636991,34552818
"6",1997,5411843,39715039,43764457
"7",1994,5180048,28885504,34054230
"8",2004,7129270,45476603,55258141
"9",1991,5076925,23780907,28961203
"10",1989,5041200,41630119,40743704
"11",1996,5351983,50391291,52187849
"12",1998,5384721,39657467,47290612
"13",1987,1311826,12170428,10419357
"14",1995,5327435,36701002,43343726
"15",2001,5967780,31641888,46780894
"16",1992,5092157,24534109,28665029
"17",2005,7140596,50217971,60779748
"18",2000,5683047,57405062,61993630
"19",2008,7009728,55994978,68546281
"20",1999,5527884,44201930,50173593
"21",2002,5271359,16587637,28802225
"22",1993,5070501,26722038,30678147
